tokenId,minter
88,0x1387B0766e0c049b5836d3073B87B45908293948
89,0x1387B0766e0c049b5836d3073B87B45908293948
90,0x1387B0766e0c049b5836d3073B87B45908293948
91,0x1387B0766e0c049b5836d3073B87B45908293948
92,0x1387B0766e0c049b5836d3073B87B45908293948
93,0x1387B0766e0c049b5836d3073B87B45908293948
94,0x1387B0766e0c049b5836d3073B87B45908293948
95,0x1387B0766e0c049b5836d3073B87B45908293948
96,0x1387B0766e0c049b5836d3073B87B45908293948
97,0x1387B0766e0c049b5836d3073B87B45908293948
98,0x1387B0766e0c049b5836d3073B87B45908293948
99,0x1387B0766e0c049b5836d3073B87B45908293948
100,0x55659dDEE6CB013c35301F6f3CC8482De857ea8E
101,0x55659dDEE6CB013c35301F6f3CC8482De857ea8E
102,0x55659dDEE6CB013c35301F6f3CC8482De857ea8E
103,0x55659dDEE6CB013c35301F6f3CC8482De857ea8E
104,0x55659dDEE6CB013c35301F6f3CC8482De857ea8E
105,0x88290FA249e81eccD672770a819a86D8c78bA1e0
106,0x88290FA249e81eccD672770a819a86D8c78bA1e0
107,0x88290FA249e81eccD672770a819a86D8c78bA1e0
108,0x88290FA249e81eccD672770a819a86D8c78bA1e0
109,0x88290FA249e81eccD672770a819a86D8c78bA1e0
110,0xa57878e3AE19D7cDF77a97C1B55e45eB864ea7dB
111,0x87fe2E13e9Bf6f13B0A901A659DefE35fB87F16d
112,0x87fe2E13e9Bf6f13B0A901A659DefE35fB87F16d
113,0x87fe2E13e9Bf6f13B0A901A659DefE35fB87F16d
114,0x87fe2E13e9Bf6f13B0A901A659DefE35fB87F16d
115,0x87fe2E13e9Bf6f13B0A901A659DefE35fB87F16d
116,0x1C71122BB75c6cEEe7Dfe50A45dc571f784f5CaB
117,0x1C71122BB75c6cEEe7Dfe50A45dc571f784f5CaB
118,0x1C71122BB75c6cEEe7Dfe50A45dc571f784f5CaB
119,0x1C71122BB75c6cEEe7Dfe50A45dc571f784f5CaB
120,0x297361C24A9f60F3B0b46227292F2217eC7410a3
121,0x26859CcA6E07d96D8c69c1d699abfb1E88fEc4c1
122,0xF79DEb4E9F0F678945e66C3cF4080515C4f6690c
123,0x97F383812589D8e0cFEDDEc6924a027E92156CD2
124,0x97F383812589D8e0cFEDDEc6924a027E92156CD2
125,0x97F383812589D8e0cFEDDEc6924a027E92156CD2
126,0x97F383812589D8e0cFEDDEc6924a027E92156CD2
127,0x97F383812589D8e0cFEDDEc6924a027E92156CD2
128,0xa7758394D8f7fD23b0d9F13E02427B514687394B
129,0x67eDdB0c3217BC86A3eB26331E2eb545460DB0D8
130,0x67eDdB0c3217BC86A3eB26331E2eb545460DB0D8
131,0x67eDdB0c3217BC86A3eB26331E2eb545460DB0D8
132,0x67eDdB0c3217BC86A3eB26331E2eb545460DB0D8
133,0x67eDdB0c3217BC86A3eB26331E2eb545460DB0D8
134,0x245D6C2bC22B3682a7a879627312679eD480EbAF
135,0x0EeCfeFECc0AaB00b0180dB036525e016Cb5cb4F
136,0xA11A765408aA3F90bd804C35Ea59C36811E5d3b6
137,0x486a107a8A40456824ADbfb3C302d5B2A38c3B3A
138,0x67d47886f1A996176fdFF94B427a7a2e92C2Ecc9
139,0x6627652C8f6232B53e64B9aF93A4A8B6683A7fCE
140,0x529ad619ad25892a6E6112102326d6774D30BBb7
141,0x529ad619ad25892a6E6112102326d6774D30BBb7
142,0x2Fa883f0dB2dc2290f9a2945b456AF733cDC1B72
143,0x8FCD5722Ac3f154E9E007bc943655f3C00022368
144,0x8FCD5722Ac3f154E9E007bc943655f3C00022368
145,0x8FCD5722Ac3f154E9E007bc943655f3C00022368
146,0x36B198016ca27ef82b65dFB86473547324E8200f
147,0x36B198016ca27ef82b65dFB86473547324E8200f
148,0x36B198016ca27ef82b65dFB86473547324E8200f
149,0xbd5089b84bE487F2AF99f962887e590F46dD8E95
150,0xFB6fd27d247EC6e4A09bdd23B508AC5a38E3744F
151,0x6B0bec0709537F4d38FA85cF9B3E6fdd295f7b02
152,0x70e3816B91b91Ba45e6B8AF2B8913a68e90966f0
153,0x8A01632d3730da093B3bce4a87bB87DaAc693a2a
154,0x087C98Fc8bBdb254Cf833Ae374785104E11CFBFD
155,0x087C98Fc8bBdb254Cf833Ae374785104E11CFBFD
156,0x087C98Fc8bBdb254Cf833Ae374785104E11CFBFD
157,0x087C98Fc8bBdb254Cf833Ae374785104E11CFBFD
